ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator,inhabitants_inside5km_VAC,inhabitants_inside5km_Battles,inhabitants_inside5km_Riots,inhabitants_inside5km_Protests,inhabitants_inside5km_ERV
BF500107,31172.75421,0,0,0,0,0,0,0
BF500106,37104.86357,5188.901805,0.13984425,0,5188.901805,176.9689412,5188.901805,5188.901805
BF500108,23469.14338,0,0,0,0,0,0,0
BF500109,33532.74945,0,0,0,0,0,0,0
BF500110,22376.54682,0,0,0,0,0,0,0
BF500111,57542.15367,0,0,0,0,0,0,0
BF500112,30136.61738,2346.264248,0.077854267,0,2346.264248,2346.264248,2346.264248,2346.264248
BF500113,19129.2975,0,0,0,0,0,0,0
BF500114,15219.1658,0,0,0,0,0,0,0
BF500115,53690.19872,0,0,0,0,0,0,0
BF500201,19292.02089,0,0,0,0,0,0,0
BF500202,47985.50106,2158.816016,0.044988923,2158.816016,2158.816016,2158.816016,2158.816016,2158.816016
BF500203,25904.13014,0,0,0,0,0,0,0
BF500204,19808.85796,1725.652023,0.08711517,0,1725.652023,0,1725.652023,1725.652023
BF500205,26575.64284,3679.933944,0.138470176,0,3679.933944,3679.933944,3679.933944,3679.933944
BF500206,49887.23635,18547.29019,0.371784279,0,18547.29019,18547.29019,18547.29019,18547.29019
BF500207,69451.4971,48125.97112,0.69294361,19566.32285,48125.97112,19566.32285,48125.97112,48125.97112
BF500208,44430.48563,9293.914614,0.209178776,0,9293.914614,9293.914614,9293.914614,9293.914614
BF500209,17684.41246,0,0,0,0,0,0,0
BF500210,28028.41733,109.5161314,0.003907325,109.5161314,109.5161314,109.5161314,109.5161314,109.5161314
BF500301,54475.73026,11838.10038,0.217309623,0,11838.10038,5630.744953,9873.735819,9873.735819
BF500302,22675.49424,3904.882216,0.172207149,0,3904.882216,0,0,0
BF500303,81714.94642,35556.18669,0.43512464,35043.86218,35556.18669,35556.18669,35556.18669,35556.18669
BF500304,9007.813432,0,0,0,0,0,0,0
BF500305,42137.18576,0,0,0,0,0,0,0
BF500306,34255.07588,2395.530895,0.069932144,0,2395.530895,0,0,0
BF500307,62551.58812,0,0,0,0,0,0,0
BF500401,37769.65956,0,0,0,0,0,0,0
BF500402,28721.10832,0,0,0,0,0,0,0
BF500404,11348.291,0,0,0,0,0,0,0
BF500405,22729.8236,0,0,0,0,0,0,0
BF500403,63479.04211,0,0,0,0,0,0,0
BF500406,124424.6596,21163.83928,0.170093608,16146.7297,21163.83928,16146.7297,16146.7297,16146.7297
BF510101,24056.84612,1730.223754,0.071922302,0,1730.223754,1730.223754,1730.223754,1730.223754
BF510102,30143.81509,0,0,0,0,0,0,0
BF510103,13942.37348,0,0,0,0,0,0,0
BF510104,39254.11687,65.32558537,0.001664172,0,65.32558537,65.32558537,65.32558537,65.32558537
BF510105,75617.02736,24315.67284,0.321563458,0,24315.67284,24315.67284,24315.67284,24315.67284
BF510106,37234.02625,13174.33347,0.353825111,0,13174.33347,9110.44053,13174.33347,13174.33347
BF510107,29788.48207,0,0,0,0,0,0,0
BF510201,72342.77773,19609.57168,0.271064677,3861.304736,19609.57168,3861.304736,3861.304736,3861.304736
BF510202,71949.37735,21443.37201,0.298034157,1155.671158,21443.37201,1213.939531,21443.37201,21443.37201
BF510203,59153.17011,29423.50108,0.497412075,0,29423.50108,22327.01118,29423.50108,29423.50108
BF510204,7239.816173,0,0,0,0,0,0,0
BF510205,31609.45803,0,0,0,0,0,0,0
BF510301,50215.7921,0,0,0,0,0,0,0
BF510302,48609.14012,914.7172489,0.018817804,0,914.7172489,914.7172489,914.7172489,914.7172489
BF510303,63105.87608,0,0,0,0,0,0,0
BF510304,50686.37558,8748.353246,0.172597728,0,8748.353246,5231.451824,5231.451824,5231.451824
BF510305,32204.42541,0,0,0,0,0,0,0
BF510306,40714.68995,24865.64116,0.610728982,0,24865.64116,24865.64116,24865.64116,24865.64116
BF510307,35980.22678,9799.877739,0.272368426,0,9799.877739,0,0,0
BF520101,136699.5866,13277.37449,0.097128125,406.8283432,13277.37449,2626.54486,13277.37449,13277.37449
BF520102,114980.8017,19984.13155,0.173804072,19984.13155,19984.13155,19984.13155,19984.13155,19984.13155
BF520103,39213.60265,7734.65694,0.197244232,2210.861003,7734.65694,3662.911006,3662.911006,3662.911006
BF520104,53333.35121,10344.62566,0.193961666,3729.33696,10344.62566,3729.33696,3729.33696,3729.33696
BF520105,118602.8048,33884.63761,0.285698451,479.1462464,33884.63761,835.2550063,31173.65863,31173.65863
BF520106,81383.9677,12811.61231,0.15742182,0,12811.61231,0,12811.61231,12811.61231
BF520107,28800.34841,0,0,0,0,0,0,0
BF520201,53081.38077,3593.064996,0.067689742,0,3593.064996,3593.064996,3593.064996,3593.064996
BF520202,42997.84443,3002.202736,0.069822168,487.2485571,3002.202736,3002.202736,3002.202736,3002.202736
BF520203,200923.3487,111263.7367,0.553762106,99659.31438,111263.7367,106324.8769,106324.8769,106324.8769
BF520204,91712.98737,26241.65569,0.286128022,24974.62784,26241.65569,25775.31928,25775.31928,26111.43404
BF520205,31910.7287,0,0,0,0,0,0,0
BF520206,32874.57208,6353.429501,0.193262729,2830.957952,6353.429501,6353.429501,6353.429501,6353.429501
BF520301,25229.66126,8777.625473,0.34790897,4628.674594,8777.625473,6867.806961,6867.806961,6867.806961
BF520302,34319.35904,19719.80592,0.574597151,17978.60549,19719.80592,19594.85674,19594.85674,19594.85674
BF520303,78399.53675,15366.74267,0.196005529,15366.74267,15366.74267,15366.74267,15366.74267,15366.74267
BF520401,55160.8523,35246.21284,0.638971506,29512.78071,35246.21284,35246.21284,35246.21284,35246.21284
BF520402,16351.95296,6372.057575,0.389681746,5937.180042,6372.057575,5937.180042,5937.180042,5937.180042
BF520403,105513.6615,50968.31391,0.483049429,46918.03059,50968.31391,46974.38882,46974.38882,47436.75108
BF520501,71890.57968,17994.46576,0.250303528,54.05064058,17994.46576,17994.46576,17994.46576,17994.46576
BF520502,49046.20588,17917.47164,0.3653182,4171.881889,17917.47164,9292.087898,17917.47164,17917.47164
BF520503,99529.95032,31685.83053,0.318354731,24111.69128,31685.83053,26835.03472,26835.03472,29110.16553
BF520504,91277.80504,49713.30526,0.544637387,31971.24826,49713.30526,45112.17442,45112.17442,45112.17442
BF520505,25761.1244,14174.23968,0.550218207,14174.23968,14174.23968,14174.23968,14174.23968,14174.23968
BF520506,75145.28755,30254.89662,0.402618682,26964.91934,30254.89662,29785.37344,29785.37344,29785.37344
BF520507,68368.914,32176.69248,0.470633371,30827.92282,32176.69248,32176.69248,32176.69248,32176.69248
BF520508,67436.19948,56615.37355,0.839539802,0,56615.37355,56615.37355,56615.37355,56615.37355
BF530101,80053.78878,14434.6813,0.180312282,0,14434.6813,14434.6813,14434.6813,14434.6813
BF530102,920056.6214,477198.7249,0.518662345,427039.7554,477198.7249,430685.0243,458581.3292,458581.3292
BF530103,23733.99268,0,0,0,0,0,0,0
BF530104,23420.96114,11071.98837,0.472738429,0,11071.98837,0,0,0
BF530105,30756.71591,0,0,0,0,0,0,0
BF530106,35228.91052,10306.91553,0.292569806,0,10306.91553,10306.91553,10306.91553,10306.91553
BF530107,131977.1478,5532.434134,0.041919637,0,5532.434134,0,5532.434134,5532.434134
BF530108,16750.68808,0,0,0,0,0,0,0
BF530109,26327.66696,5020.211152,0.190681961,0,5020.211152,5020.211152,5020.211152,5020.211152
BF530110,54118.39654,0,0,0,0,0,0,0
BF530111,77805.75167,6971.472166,0.089600987,6795.642767,6971.472166,6795.642767,6795.642767,6795.642767
BF530112,31578.35253,2630.133022,0.083289115,0,2630.133022,0,0,0
BF530113,22122.44688,15.49791861,7.01E-04,0,15.49791861,15.49791861,15.49791861,15.49791861
BF530201,32839.14474,0,0,0,0,0,0,0
BF530202,21170.38042,0,0,0,0,0,0,0
BF530203,31948.78563,0,0,0,0,0,0,0
BF530204,29107.74772,5716.346942,0.196385753,1237.332556,5716.346942,5253.692358,5253.692358,5253.692358
BF530205,28488.53297,5.549682617,1.95E-04,5.549682617,5.549682617,5.549682617,5.549682617,5.549682617
BF530206,24287.94346,6601.143578,0.271786847,0,6601.143578,6601.143578,6601.143578,6601.143578
BF530207,52591.92411,0,0,0,0,0,0,0
BF530208,41147.72487,0,0,0,0,0,0,0
BF530209,39788.82918,8453.145355,0.212450216,8453.145355,8453.145355,8453.145355,8453.145355,8453.145355
BF530210,45371.70144,25056.72586,0.552254491,0,25056.72586,25056.72586,25056.72586,25056.72586
BF530212,60561.97121,8585.760422,0.14176818,0,8585.760422,0,0,0
BF530211,5462.744549,0,0,0,0,0,0,0
BF530213,32127.75357,1440.113544,0.044824595,1440.113544,1440.113544,1440.113544,1440.113544,1440.113544
BF530301,13289.36233,0,0,0,0,0,0,0
BF530302,29813.80562,8904.401677,0.29866706,0,8904.401677,52.49810266,52.49810266,52.49810266
BF530303,23032.65523,0,0,0,0,0,0,0
BF530304,49346.87922,0,0,0,0,0,0,0
BF530305,125272.2529,46331.14643,0.369843643,40432.32233,46331.14643,46331.14643,46331.14643,46331.14643
BF530306,39359.52317,0,0,0,0,0,0,0
BF530307,63405.92913,33.89826107,5.35E-04,0,33.89826107,33.89826107,33.89826107,33.89826107
BF540101,49329.19891,27018.70067,0.547722267,20974.06761,27018.70067,26261.98411,26261.98411,27018.70067
BF540102,36416.51026,23986.92672,0.658682739,20010.39071,23986.92672,20010.39071,20010.39071,20010.39071
BF540103,21536.64355,12099.45067,0.56180763,10596.05992,12099.45067,10601.38439,10601.38439,10937.51505
BF540104,83885.88021,46998.67049,0.560269146,37944.82277,46998.67049,40460.88856,40460.88856,40472.99421
BF540201,56185.00764,0,0,0,0,0,0,0
BF540202,26748.02271,187.7320237,0.007018538,0,187.7320237,0,187.7320237,187.7320237
BF540204,61682.80689,16352.71299,0.265109742,0,16352.71299,15570.23491,15570.23491,15570.23491
BF540205,24558.17498,0,0,0,0,0,0,0
BF540206,26301.78181,0,0,0,0,0,0,0
BF540207,32374.03551,5159.303515,0.159365474,0,5159.303515,5159.303515,5159.303515,5159.303515
BF540208,17705.74087,0,0,0,0,0,0,0
BF540209,39448.73632,13000.2688,0.329548422,0,13000.2688,13000.2688,13000.2688,13000.2688
BF540210,91137.31477,48443.11575,0.531539862,6428.197149,48443.11575,15195.78462,48443.11575,48443.11575
BF540301,32454.65186,9944.081085,0.306399253,9944.081085,9944.081085,9944.081085,9944.081085,9944.081085
BF540302,16981.40989,12825.23155,0.75525128,8982.312842,12825.23155,9883.066416,9883.066416,12825.23155
BF540303,60548.80218,0,0,0,0,0,0,0
BF540304,24017.83222,0,0,0,0,0,0,0
BF540305,66981.80655,18750.04285,0.279927398,18732.48425,18750.04285,18750.04285,18750.04285,18750.04285
BF540306,39756.19408,15065.18099,0.378939215,6.159620285,15065.18099,15065.18099,15065.18099,15065.18099
BF540307,167261.49,118024.5268,0.705628814,100815.1736,118024.5268,108035.9688,108035.9688,115505.4778
BF540308,49528.89247,10845.33478,0.218969863,0,10845.33478,4154.253974,4154.253974,4154.253974
BF540309,43105.78526,15631.57922,0.362632977,0,15631.57922,0,15631.57922,15631.57922
BF540310,75275.26924,18512.24715,0.245927346,18512.24715,18512.24715,18512.24715,18512.24715,18512.24715
BF540311,38881.82802,11293.23104,0.290450105,9863.308798,11293.23104,9863.308798,9863.308798,11016.32173
BF540312,33960.80867,15962.82342,0.470036611,10404.98635,15962.82342,15962.82342,15962.82342,15962.82342
BF540313,21899.71676,0,0,0,0,0,0,0
BF540401,28617.10125,987.3510056,0.034502132,987.3510056,987.3510056,987.3510056,987.3510056,987.3510056
BF540402,29924.71131,5026.315419,0.167965377,0,5026.315419,0,5026.315419,5026.315419
BF540403,110817.622,50670.09208,0.45723858,12596.31535,50670.09208,50670.09208,50670.09208,50670.09208
BF540404,12359.98989,0,0,0,0,0,0,0
BF540405,41304.83203,0,0,0,0,0,0,0
BF550101,112744.4524,0,0,0,0,0,0,0
BF550102,24247.60902,8175.447417,0.337165096,0,8175.447417,8175.447417,8175.447417,8175.447417
BF550103,42943.04357,432.3329535,0.01006759,11.76527548,432.3329535,432.3329535,432.3329535,432.3329535
BF550104,73242.48343,1561.997705,0.021326389,1371.127868,1561.997705,1371.127868,1561.997705,1561.997705
BF550105,19514.25277,0,0,0,0,0,0,0
BF550106,48477.95959,16135.7597,0.332847336,2835.62983,16135.7597,10018.53675,16135.7597,16135.7597
BF550107,63452.70885,33931.45331,0.534751848,24418.19552,33931.45331,33931.45331,33931.45331,33931.45331
BF550108,35542.62794,68.48729229,0.001926906,0,68.48729229,68.48729229,68.48729229,68.48729229
BF550201,53231.31673,20018.71103,0.376070183,0,20018.71103,20018.71103,20018.71103,20018.71103
BF550202,13153.21936,8822.860712,0.67077576,0,8822.860712,8822.860712,8822.860712,8822.860712
BF550203,29997.29904,555.8917809,0.018531394,0,555.8917809,555.8917809,555.8917809,555.8917809
BF550204,43488.0925,0,0,0,0,0,0,0
BF550205,19784.82184,0,0,0,0,0,0,0
BF550301,34565.67799,0,0,0,0,0,0,0
BF550302,36078.06891,0,0,0,0,0,0,0
BF550303,34557.86618,19576.68283,0.566489919,0,19576.68283,19576.68283,19576.68283,19576.68283
BF550304,25275.62479,1160.962712,0.045932107,1160.962712,1160.962712,1160.962712,1160.962712,1160.962712
BF550305,19159.18956,0,0,0,0,0,0,0
BF550306,79982.41697,40701.05438,0.508875024,36456.95972,40701.05438,40701.05438,40701.05438,40701.05438
BF550307,48001.46867,1224.760146,0.025515056,0,1224.760146,1224.760146,1224.760146,1224.760146
BF560101,37738.21143,17229.83743,0.45656211,11653.43009,17229.83743,14132.83424,14132.83424,14801.08783
BF560102,167873.2727,110812.8659,0.660098324,87392.66246,110812.8659,102388.2554,102388.2554,102598.0814
BF560103,31712.33785,23714.88799,0.747812668,23330.64891,23714.88799,23376.55608,23376.55608,23714.88799
BF560104,28619.51348,16573.81701,0.579108971,15107.5258,16573.81701,15107.5258,15107.5258,16228.85914
BF560105,24289.29999,14345.15318,0.590595579,9244.594772,14345.15318,9244.594772,9244.594772,13793.4044
BF560201,63994.85303,3614.859594,0.056486724,3614.859594,3614.859594,3614.859594,3614.859594,3614.859594
BF560202,145952.3005,57204.15235,0.391937312,48643.1437,57204.15235,50754.54583,50754.54583,50754.54583
BF560203,25644.57612,10957.1426,0.427269398,10390.73349,10957.1426,10957.1426,10957.1426,10957.1426
BF560204,40734.52619,25337.11988,0.622006005,20201.27486,25337.11988,22499.81429,22499.81429,22499.81429
BF560205,34405.73462,12272.86101,0.35670975,11826.91004,12272.86101,12272.86101,12272.86101,12272.86101
BF560206,42419.27678,11565.93384,0.272657497,4163.993362,11565.93384,4163.993362,4163.993362,4163.993362
BF560301,134810.2204,96842.30408,0.718360253,87030.61444,96842.30408,87063.33895,87063.33895,88461.20114
BF560302,37730.48488,22887.83694,0.606613909,14653.67103,22887.83694,18476.77037,18476.77037,21434.22906
BF560303,8531.669278,4589.593063,0.53794784,4528.193405,4589.593063,4528.193405,4528.193405,4589.593063
BF560304,82104.4703,62240.8914,0.758069459,55482.98592,62240.8914,55585.37527,55585.37527,60607.27513
BF560305,34598.06826,30094.60006,0.869834692,23683.1489,30094.60006,29824.40031,29824.40031,29824.40031
BF560306,29900.11654,14055.3457,0.470076619,6710.357711,14055.3457,8736.868859,8736.868859,10253.55745
BF560307,23299.03185,16804.64069,0.721259184,13566.15684,16804.64069,16156.52426,16156.52426,16780.84544
BF560308,35462.33781,26159.32795,0.737665071,26069.85897,26159.32795,26069.85897,26069.85897,26069.85897
BF560309,98947.09457,59273.87926,0.599046182,50274.03842,59273.87926,50687.02495,50687.02495,52635.68217
BF560401,33455.79932,17806.74241,0.532246809,16447.55399,17806.74241,17635.26663,17635.26663,17806.74241
