ADM3_PCODE,MNDWI,BRBA,NBAI,NDSI,VARI,SAVI,OSAVI,NDMI,NBAI,EVI,NDVI,SR,ARVI,UI
BF460303,-0.18366615264638111,0.7323905319333688,-0.5057023071367625,-0.18366615264638111,-0.05094098722507958,0.16133366202391228,0.1414229816396935,0.011431868832051491,-0.5057023071367625,0.3821046030273979,0.1660242994210541,1.3981514073031145,0.2749911641157586,-0.044585848644845015
BF460304,-0.20568264600459044,0.7237705749674156,-0.5146588805694609,-0.20568264600459044,-0.07980409768843802,0.15806379434847045,0.1372860914302613,-0.020762735467297636,-0.5146588805694609,0.3068650417973484,0.1601013153862128,1.3812395907247614,0.31459469105821924,-0.03310351677052472
BF460305,-0.19170812591314773,0.7581356349822189,-0.47555595384258775,-0.19170812591314773,-0.054887326645355096,0.15835976296090862,0.1374542533217531,-0.0070838141351976715,-0.47555595384258775,0.35465871789411313,0.1602233797268663,1.3815857118640773,0.2919279976039373,-0.013245648884643699
BF460306,-0.20945141981719048,0.7248656652527045,-0.49846412248315825,-0.20945141981719048,-0.08430531129088996,0.16356624568397665,0.1425422186971337,-0.00937818919425163,-0.49846412248315825,0.3199071927941159,0.1666309482035183,1.3998971352351381,0.3090147732918051,-0.03436834287320563
BF460307,-0.2436249188219803,0.713907237176992,-0.5045839376446821,-0.2436249188219803,-0.122082828324656,0.1471618542309745,0.12820778276923378,-0.029901909992056108,-0.5045839376446821,0.264112916900181,0.14984166300871637,1.352502955011903,0.31736308618814596,-0.03574264876956334
BF460308,-0.26243993534234294,0.6599017121362456,-0.5652815872401679,-0.26243993534234294,-0.10026758849386641,0.15099695416398853,0.13301335709324125,-0.04977689361670299,-0.5652815872401679,0.29694569668046933,0.15671200179431427,1.3716689959486197,0.3021612623489751,-0.03846102530119943
BF460309,-0.19262235047402484,0.7208846484774739,-0.48919223650945104,-0.19262235047402484,-0.05417199927764379,0.15381783913939384,0.13304200990892495,-0.00967175656885248,-0.48919223650945104,0.35351281885215413,0.1546914095002501,1.3659998519802001,0.27837466882471584,-0.018310501274324136
BF460311,-0.08813988360670702,0.8492633679270146,-0.5433212381735085,-0.08813988360670702,-0.011605450246541093,0.16371356807217252,0.14499457145928113,0.04002698482254325,-0.5433212381735085,0.39333254487729075,0.17150669041799577,1.4140207010350518,0.26802979526774673,-0.07592651166006963
BF460401,-0.18426972555233934,0.7171301775147929,-0.5362583781381556,-0.18426972555233934,-0.03552706149050726,0.18000756076321503,0.157251317878812,0.018737805976382985,-0.5362583781381556,0.4512570876882323,0.18617972952963824,1.4575450779126757,0.3234513055295175,-0.06195338662333338
BF460402,-0.17539934410658592,0.7592281997766859,-0.5188179624324656,-0.17539934410658592,-0.025465989434573906,0.18386196515192968,0.16382872220309896,0.03444992251872948,-0.5188179624324656,0.46695049513725345,0.19465936865113181,1.483421203584615,0.278442862969527,-0.07180875226259631
BF460403,-0.1721151508649081,0.7553371577411816,-0.5211193536945552,-0.1721151508649081,-0.05794320587937207,0.15745781735573777,0.13813983178087952,0.013174398993796972,-0.5211193536945552,0.36311797624765846,0.16226769362815832,1.3873974834059535,0.270025735765557,-0.07715240604470108
BF460404,-0.1876615577124465,0.735687366434858,-0.5106834971405071,-0.1876615577124465,-0.0633444622602374,0.16647901423736575,0.14681778988888095,-0.0044892803906884165,-0.5106834971405071,0.3680614746792047,0.1731197298815528,1.4187298600237592,0.2918598523406293,-0.07151074383930646
