ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator
ML010407,3853.6851811408997,0.0,0.0
ML010409,41447.005417227745,16887.013310194016,0.40743627049048053
ML010405,20125.5657864213,0.0,0.0
ML010412,57001.561735510826,19063.0892264843,0.334430998837149
ML010411,17377.348940074444,0.0,0.0
ML010401,17054.975046873093,0.0,0.0
ML010404,5576.718892931938,0.0,0.0
ML010403,20493.848851323128,87.12721133232117,0.004251383523144118
ML010408,19139.106045007706,0.0,0.0
ML010402,21942.170663833618,0.0,0.0
ML010406,8056.362646281719,0.0,0.0
ML010410,18192.305616140366,0.0,0.0
ML010527,14466.1213388443,0.0,0.0
ML010511,14213.9867978096,0.0,0.0
ML010526,50820.42607283592,4089.721046924591,0.08047396220297712
ML010528,18062.382241606712,0.0,0.0
ML010513,65717.60737633705,65717.60737633705,1.0
ML010524,5718.905329704285,0.0,0.0
ML010522,13023.66987657547,0.0,0.0
ML010509,34227.10857248306,0.0,0.0
ML010508,8948.400279641151,0.0,0.0
ML010505,14965.01302599907,0.0,0.0
ML010501,7520.180780887604,0.0,0.0
ML010518,12694.232940554619,0.0,0.0
ML010512,34089.92618846893,3054.190083503723,0.08959215888642247
ML010531,12626.786573052406,0.0,0.0
ML010514,10722.739218950272,1916.6643645763397,0.17874764325043208
ML010506,12852.574787855148,0.0,0.0
ML010521,12758.103068232536,0.0,0.0
ML010516,16105.406080365181,0.0,0.0
ML010517,29630.73268043995,0.0,0.0
ML010519,17759.81426382065,0.0,0.0
ML010507,18843.987851381302,0.0,0.0
ML010510,16034.698541641235,0.0,0.0
ML010503,11168.325345754623,1949.8009774684906,0.17458311045797584
ML010529,7668.018805027008,0.0,0.0
ML010530,11076.533559560776,0.0,0.0
ML010532,13483.833975076675,0.0,0.0
ML010533,6519.561235189438,146.43845212459564,0.022461396839743096
ML010520,8125.683086156845,0.0,0.0
ML010525,4732.375795960426,657.5227324962616,0.13894136071305357
ML010523,14381.451267004013,0.0,0.0
ML010502,10520.11736536026,628.4119002819061,0.059734305089702414
ML010504,6013.735368967056,810.6494886875153,0.13479966093465728
