ADM3_PCODE,MNDWI,BRBA,NBAI,NDSI,VARI,SAVI,OSAVI,NDMI,NBAI,EVI,NDVI,SR,ARVI,UI
BF460205,-0.22294131013666518,0.6930941008055492,-0.5527940951995332,-0.22294131013666518,-0.07404776118421155,0.15401720867067364,0.13598397642942325,-0.020184883262348775,-0.5527940951995332,0.34519674640717257,0.16025995342273877,1.3816894384778966,0.27307347128904114,-0.07517767308738421
BF460206,-0.1969787230185744,0.7345406473149344,-0.5266146905554189,-0.1969787230185744,-0.07528349892730142,0.1366037268773807,0.11877630459611313,-0.015890474103129507,-0.5266146905554189,0.32221519853117,0.13862346795414143,1.3218649749486355,0.24305553201658195,-0.08560355547187269
BF460301,-0.2298953900003977,0.6990476614201345,-0.5280072128702284,-0.2298953900003977,-0.08922415886663006,0.14479870301962683,0.12556714568082947,-0.028367731871286935,-0.5280072128702284,0.30649372892444104,0.14573920860085776,1.3412054259499848,0.2709936463641753,-0.05410788219213831
BF460302,-0.21673531887333142,0.7166006068706012,-0.5038023268268519,-0.21673531887333142,-0.09560745512809432,0.1379687920505534,0.1181267510962907,-0.029252018793601887,-0.5038023268268519,0.28024811635122654,0.13636996256583983,1.3158064371429095,0.2684167280909981,-0.04065065069875631
BF460303,-0.21426957741487904,0.7070188509484008,-0.535123319653102,-0.21426957741487904,-0.06861941674140769,0.1500884491317641,0.13056240637908342,-0.030289928840528658,-0.535123319653102,0.3257799996680119,0.15276082429812599,1.3606085003601849,0.2646880856937968,-0.06472277323863565
BF460304,-0.23712839228582228,0.7005735607374756,-0.5296267158131143,-0.23712839228582228,-0.09891051555649723,0.14226303901177226,0.12269757006706221,-0.02991172173759273,-0.5296267158131143,0.2915481925016971,0.14225814072149173,1.3317038551462383,0.2961495467128636,-0.04917565674394315
BF460305,-0.22412882656060812,0.6998110184831888,-0.5256799729760685,-0.22412882656060812,-0.0916668708900053,0.14298739184476159,0.12385823862609681,-0.02390253609001807,-0.5256799729760685,0.30588954403181506,0.14416532202841523,1.3368999311177754,0.2686040299071728,-0.05500165464935647
BF460306,-0.2314760858846206,0.7010642878464087,-0.5239763990960659,-0.2314760858846206,-0.09528001636326446,0.14242994360815836,0.1252454951090815,-0.03131682640280429,-0.5239763990960659,0.3040161820875587,0.1479508196721311,1.3472823472823472,0.27676376306386236,-0.05569995709408835
BF460307,-0.25221314710970244,0.7000967717635059,-0.505645519239063,-0.25221314710970244,-0.1275778749518758,0.13944701973603055,0.1192774677442163,-0.03976285085089912,-0.505645519239063,0.25104090039923704,0.13770974653201218,1.3194046226967462,0.3079687095907748,-0.03578777013468075
BF460308,-0.26243993534234294,0.6599017121362456,-0.5678665583112973,-0.26243993534234294,-0.10026758849386641,0.15099695416398853,0.13301335709324125,-0.04977689361670299,-0.5678665583112973,0.29694569668046933,0.15671200179431427,1.3716689959486197,0.2996827705312912,-0.0528405247290703
