ADM3_PCODE,count_min,count_max,count_mean,count_median,count_stdDev,cv_area_min,cv_area_max,cv_area_mean,cv_area_median,cv_area_stdDev,cv_length_min,cv_length_max,cv_length_mean,cv_length_median,cv_length_stdDev,density_min,density_max,density_mean,density_median,density_stdDev,mean_area_min,mean_area_max,mean_area_mean,mean_area_median,mean_area_stdDev,mean_length_min,mean_length_max,mean_length_mean,mean_length_median,mean_length_stdDev,total_length_min,total_length_max,total_length_mean,total_length_median,total_length_stdDev,urban_min,urban_max,urban_mean,urban_median,urban_stdDev
BF460203,1.0,81.0,4.103260394778586,2.0,5.971609475088804,0.0,1.736913800239563,0.31295207306676226,0.26991236773135585,0.32356192127137634,0.0,1.1678059101104736,0.17339148624490497,0.14421805857514644,0.18548460640096115,119.58423614501953,9687.3359375,491.0075998111422,239.30473550381058,714.5932644850816,4.850191593170166,370.31494140625,25.563225893185905,18.914662855254534,26.90785745335983,8.872044563293457,95.17034149169922,19.61221294478409,18.25255888556534,7.640971475998342,8.872044563293457,2006.235107421875,81.3342322834868,35.80809613064716,125.8599347285004,0,0,0.0,0.0,0.0
BF460204,1.0,76.0,5.980149737368704,3.0000000000000004,7.853255139593299,0.0,2.066964626312256,0.35525992347107727,0.3510477008616052,0.3237917203332165,0.0,1.073693871498108,0.18758668470411438,0.18347631068262335,0.17447407332143794,119.69081115722656,9104.279296875,716.2336667649115,359.3082645474916,940.5835678703611,4.900278091430664,434.14874267578125,22.587793688578603,16.97683297749546,21.849824060379174,8.972087860107422,102.8635025024414,18.357588505855087,17.243737585173022,6.355267051307584,8.972087860107422,1568.9537353515625,110.17440710239202,51.924215905677336,153.66324200056744,0,0,0.0,0.0,0.0
BF460205,1.0,92.0,7.969754923710222,3.0,11.331846549644498,0.0,2.2037839889526367,0.3717569362548965,0.3827858238604192,0.33161547097124433,0.0,1.2908215522766113,0.19828520473723674,0.19914851538118372,0.1811023413451883,119.55420684814453,11012.1767578125,953.5131703952213,358.93726222847823,1355.6849595587437,4.839183330535889,1336.916015625,27.204481232386836,19.801371885274097,35.22278281425414,8.926740646362305,157.77525329589844,19.929143163768757,18.502443848565377,8.1661149125674,8.926740646362305,1952.285400390625,160.72578488097648,68.15639066553341,238.05434767372196,0,0,0.0,0.0,0.0
BF460206,1.0,63.0,4.671205173534265,2.0,6.191587775018306,0.0,2.107729196548462,0.32025358527972075,0.3056801724433899,0.312647666957264,0.0,1.0783536434173584,0.17242793258723554,0.1605381418106168,0.17266950101797596,119.70622253417969,7553.8134765625,559.6752287854194,239.6401697415714,741.8268427009933,4.894191265106201,503.380859375,24.582088875131188,18.99356400207084,25.017091995375136,9.07580280303955,124.06480407714844,19.22854475940444,18.24410569211598,7.155841393634,9.07580280303955,1412.841064453125,91.60098418913533,43.80908179419744,129.3491533191083,0,0,0.0,0.0,0.0
BF460301,1.0,71.0,8.607191408210381,4.0,10.689961822962816,0.0,1.675768256187439,0.38118866737554,0.40248792350292206,0.3178372655019693,0.0,1.0357029438018799,0.19972169787052757,0.2069499780508605,0.1689884830593653,119.9836196899414,8533.8828125,1033.8224721343606,480.4003273090083,1284.0389959351521,4.974451065063477,338.49078369140625,23.036790954654165,18.949719012362728,20.69345981389379,9.015589714050293,84.02293395996094,18.669492312847055,17.75837583460213,5.90105792882595,9.015589714050293,1512.253173828125,164.7517683740761,75.88384628295898,212.87281491994577,0,0,0.0,0.0,0.0
BF460302,1.0,63.0,6.005459141103294,4.0,6.725847959464524,0.0,2.122670888900757,0.4130102746934679,0.430206446571553,0.3176237186729525,0.0,1.08839750289917,0.22035816939981057,0.2303465534658993,0.17345547939657793,119.98204040527344,7560.29345703125,720.8412807704375,480.1260654779128,807.3364455314054,4.925419807434082,472.2223205566406,27.634472511669568,20.98844626109504,27.260819489569577,8.886431694030762,104.45433044433594,20.315150375785592,18.73853983383905,7.3366383289003325,8.886431694030762,1284.1097412109375,121.23700241433133,76.32981844646174,142.51809875727548,0,0,0.0,0.0,0.0
BF460303,1.0,73.0,5.200674292594822,2.9999999999999996,6.359363423540224,0.0,1.9106101989746094,0.3555551029324522,0.3555843320985635,0.3143906281448903,0.0,0.9961726665496826,0.187375874258438,0.18937533171403975,0.16833147637980814,119.80733489990234,8750.5283203125,623.3194609305183,359.57415080444474,762.172010609538,5.048894882202148,317.7716369628906,24.117105779247066,19.015467125057196,22.811754267496607,9.12028694152832,92.95148468017578,19.002340514412513,17.752048317026244,6.584950460984262,9.12028694152832,1430.1258544921875,98.26815026107076,52.00339398251482,124.01857991525708,0,0,0.0,0.0,0.0
BF460304,1.0,87.0,8.354599297167384,2.9999999999999996,11.259311886395396,0.0,1.8743141889572144,0.4337161725793302,0.49610417016914915,0.34408584841508116,0.0,0.9904917478561401,0.23331703815779384,0.2637562094365849,0.18812964213289265,120.02778625488281,10459.4130859375,1003.6007754267829,360.3208734977651,1352.7788463623885,4.936313629150391,561.4691162109375,28.910151177549523,25.97726410738719,26.639532387287602,9.140456199645996,136.74359130859375,20.67191772272924,19.759805629230076,7.245187514631592,9.140456199645996,2056.612548828125,176.39837648307966,71.42603241742887,248.45036488264083,0,0,0.0,0.0,0.0
BF460305,1.0,83.0,7.59362581020721,4.0,9.1631364706629,0.0,1.7496765851974487,0.3912620297211636,0.41757963524398745,0.2931464089574373,0.0,1.108123540878296,0.2063219771416629,0.21439722201062572,0.157430154921922,119.74968719482422,9941.751953125,909.9809242480015,479.32621052255774,1098.057651214469,5.055257797241211,400.3211975097656,23.39029950150794,19.013162995725462,23.490824349618542,9.044572830200195,100.87913513183594,18.81886541064824,17.749153574226042,6.480053916177914,9.044572830200195,1634.760009765625,142.21823960721403,75.9348350070944,180.08083622946512,0,0,0.0,0.0,0.0
BF460306,1.0,70.0,7.888244995634316,4.0,9.267027897259696,0.0,2.36043643951416,0.42420202722894534,0.46206453353611393,0.3118318933230851,0.0,1.3803762197494507,0.22533845042437609,0.2383206204831044,0.1699046406876347,119.89437866210938,8394.6865234375,946.3663320074276,479.876565839131,1111.799854713385,5.167585372924805,332.91094970703125,24.78667239140589,20.976779154166994,21.824065792312343,9.187108039855957,79.97681427001953,19.34945024734704,18.261880107828613,6.098341459026524,9.187108039855957,1624.6658935546875,153.16397105346726,83.92344692034685,191.60679543228187,0,0,0.0,0.0,0.0
